Text_ID,Father_ID,Father_Name,Author_name,Source,Mention text,Start_pos,End_pos,Entity Name,DBpedia URL,Confidence,Description,Semantic Categories,DBpedia Types
514356011,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,tacit,15,20,Tacit knowledge,http://dbpedia.org/resource/Tacit_knowledge,0.7329,"Tacit knowledge or implicit knowledge—as opposed to formal, codified or explicit knowledge—is knowledge that is difficult to express or extract; therefore it is more difficult to transfer to others by means of writing it down or verbalizing it. This can include motor skills, personal wisdom, experience, insight, and intuition.","['Cognitive psychology', 'Knowledge management', 'Psychology of learning']",[]
514356011,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,actions,70,77,Action (philosophy),http://dbpedia.org/resource/Action_(philosophy),0.6894,"In philosophy, an action is an event that an agent performs for a purpose, that is guided by the person's intention. The first question in the philosophy of action is to determine how actions differ from other forms of behavior, like involuntary reflexes. According to Ludwig Wittgenstein, it involves discovering ""[w]hat is left over if I subtract the fact that my arm goes up from the fact that I raise my arm"". There is broad agreement that the answer to this question has to do with the agent's intentions. So driving a car is an action since the agent intends to do so, but sneezing is a mere behavior since it happens independent of the agent's intention. The dominant theory of the relation between the intention and the behavior is causalism: driving the car is an action because it is caused by the agent's intention to do so. On this view, actions are distinguished from other events by their causal history. Causalist theories include Donald Davidson's account, which defines actions as bodily movements caused by intentions in the right way, and volitionalist theories, according to which volitions form a core aspect of actions. Non-causalist theories, on the other hand, often see intentions not as the action's cause but as a constituent of it.","['Action (philosophy)', 'Concepts in metaphysics', 'Determinism', 'Free will']",[]
514356011,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,individual,113,123,Individual,http://dbpedia.org/resource/Individual,0.7116,"An individual is that which exists as a distinct entity. Individuality (or self-hood) is the state or quality of living as an individual; particularly (in the case of humans) of as a person unique from other people and possessing one's own needs or goals, rights and responsibilities. The concept of an individual features in diverse fields, including biology, law, and philosophy. Every individual contributes significantly to the growth of a civilization. Society is a multifaceted concept that is shaped and influenced by a wide range of elements, including human behaviors, attitudes, and ideas. The culture, morals, and beliefs of others as well as the general direction and trajectory of the society can all be influenced and shaped by an individual's activities.","['Individualism', 'Personhood', 'Self']",[]
514356011,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,collective,128,138,Social organization,http://dbpedia.org/resource/Social_organization,0.7315,"In sociology, a social organization is a pattern of relationships between and among individuals and social groups.",['Sociological terminology'],[]
514356012,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,physical system,5,20,Physical system,http://dbpedia.org/resource/Physical_system,0.7152,A physical system is a collection of physical objects under study. The collection differs from a set: all the objects must coexist and have some physical relationship.,"['Concepts in physics', 'Physical systems']",[]
514356012,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,entropy,53,60,Entropy,http://dbpedia.org/resource/Entropy,0.8345,"Entropy is a scientific concept, as well as a measurable physical property, that is most commonly associated with a state of disorder, randomness, or uncertainty. The term and the concept are used in diverse fields, from classical thermodynamics, where it was first recognized, to the microscopic description of nature in statistical physics, and to the principles of information theory. It has found far-ranging applications in chemistry and physics, in biological systems and their relation to life, in cosmology, economics, sociology, weather science, climate change, and information systems including the transmission of information in telecommunication.","['Asymmetry', 'Entropy', 'Philosophy of thermal and statistical physics', 'Physical quantities', 'State functions']",[]
514356012,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,correlated,97,107,Correlation,http://dbpedia.org/resource/Correlation,0.6954,"In statistics, correlation or dependence is any statistical relationship, whether causal or not, between two random variables or bivariate data. Although in the broadest sense, ""correlation"" may indicate any type of association, in statistics it usually refers to the degree to which a pair of variables are linearly related.","['Covariance and correlation', 'Dimensionless numbers']",[]
514356013,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,Humans,0,6,Human,http://dbpedia.org/resource/Human,0.6766,"Humans, or modern humans (Homo sapiens), are the most common and widespread species of primate. A great ape characterized by their hairlessness, bipedalism, and high intelligence, humans have a large brain and resulting cognitive skills that enable them to thrive in varied environments and develop complex societies and civilizations. Humans are highly social and tend to live in complex social structures composed of many cooperating and competing groups, from families and kinship networks to political states. As such, social interactions between humans have established a wide variety of values, social norms, languages, and rituals, each of which bolsters human society. The desire to understand and influence phenomena has motivated humanity's development of science, technology, philosophy, mythology, religion, and other conceptual frameworks.","['Apex predators', 'Articles containing video clips', 'Humans', 'Mammals described in 1758', 'Taxa named by Carl Linnaeus', 'Tool-using mammals']",[]
514356013,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,information,44,55,Information,http://dbpedia.org/resource/Information,0.7215,"Information is an abstract concept that refers to that which has the power to inform. At the most fundamental level, information pertains to the interpretation (perhaps formally) of that which may be sensed, or their abstractions. Any natural process that is not completely random and any observable pattern in any medium can be said to convey some amount of information. Whereas digital signals and other data use discrete signs to convey information, other phenomena and artefacts such as analogue signals, poems, pictures, music or other sounds, and currents convey information in a more continuous form. Information is not knowledge itself, but the meaning that may be derived from a representation through interpretation.","['Concepts in metaphysics', 'Information', 'Information science', 'Main topic articles']",[]
514356013,26811735,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar Hidalgo,Dandelion,information,152,163,Information,http://dbpedia.org/resource/Information,0.7215,"Information is an abstract concept that refers to that which has the power to inform. At the most fundamental level, information pertains to the interpretation (perhaps formally) of that which may be sensed, or their abstractions. Any natural process that is not completely random and any observable pattern in any medium can be said to convey some amount of information. Whereas digital signals and other data use discrete signs to convey information, other phenomena and artefacts such as analogue signals, poems, pictures, music or other sounds, and currents convey information in a more continuous form. Information is not knowledge itself, but the meaning that may be derived from a representation through interpretation.","['Concepts in metaphysics', 'Information', 'Information science', 'Main topic articles']",[]
