Text_ID,Father_ID,Father_Name,Author_name,Source,Mention text,Start_pos,End_pos,Entity Name,DBpedia URL,Confidence,Description,Semantic Categories,DBpedia Types
110306476,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,meaningful,9,19,Semantics,http://dbpedia.org/resource/Semantics,0.6537,"Semantics is the study of reference, meaning, or truth. The term can be used to refer to subfields of several distinct disciplines, including philosophy, linguistics and computer science.","['Concepts in logic', 'Grammar', 'Linguistics terminology', 'Meaning (philosophy of language)', 'Semantics', 'Social philosophy']",[]
110306476,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,willpower,48,57,Self-control,http://dbpedia.org/resource/Self-control,0.7578,"Self-control, an aspect of inhibitory control, is the ability to regulate one's emotions, thoughts, and behavior in the face of temptations and impulses. As an executive function, it is a cognitive process that is necessary for regulating one's behavior in order to achieve specific goals.","['Autonomy', 'Honor', 'Justice', 'Motivation', 'Self-control', 'Self', 'Virtue']",[]
110306476,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,willpower,81,90,Self-control,http://dbpedia.org/resource/Self-control,0.7578,"Self-control, an aspect of inhibitory control, is the ability to regulate one's emotions, thoughts, and behavior in the face of temptations and impulses. As an executive function, it is a cognitive process that is necessary for regulating one's behavior in order to achieve specific goals.","['Autonomy', 'Honor', 'Justice', 'Motivation', 'Self-control', 'Self', 'Virtue']",[]
110306476,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,willpower,114,123,Self-control,http://dbpedia.org/resource/Self-control,0.7578,"Self-control, an aspect of inhibitory control, is the ability to regulate one's emotions, thoughts, and behavior in the face of temptations and impulses. As an executive function, it is a cognitive process that is necessary for regulating one's behavior in order to achieve specific goals.","['Autonomy', 'Honor', 'Justice', 'Motivation', 'Self-control', 'Self', 'Virtue']",[]
110306476,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,writing,206,213,Writing,http://dbpedia.org/resource/Writing,0.6805,"Writing is a cognitive and social activity involving neuropsychological and physical processes and the use of writing systems to structure and translate human thoughts into persistent representations of human language. A system of writing relies on many of the same semantic structures as the language it represents, such as lexicon and syntax, with the added dependency of a system of symbols representing that language's phonology and morphology. Nevertheless, written language may take on characteristics distinctive from any available in spoken language.","['Behavior', 'Human communication', 'Language', 'Nonverbal communication', 'Writing', 'Writing systems', 'Written communication']",[]
110306476,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,play,241,245,Play (activity),http://dbpedia.org/resource/Play_(activity),0.7011,"Play is a range of  activities done for recreational pleasure and enjoyment. Play is commonly associated with children and juvenile-level activities, but may be engaged in at any life stage, and among other higher-functioning animals as well, most notably mammals and birds.","['Behavior', 'Childhood', 'Ethology', 'Learning', 'Play (activity)']",[]
110306479,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,willpower,105,114,Will (philosophy),http://dbpedia.org/resource/Will_(philosophy),0.6942,"Will, within philosophy, is a faculty of the mind. Will is important as one of the parts of the mind, along with reason and understanding. It is considered central to the field of ethics because of its role in enabling deliberate action.","['Action (philosophy)', 'Autonomy', 'Causality', 'Concepts in epistemology', 'Concepts in ethics', 'Concepts in logic', 'Concepts in metaphilosophy', 'Concepts in metaphysics', 'Concepts in political philosophy', 'Concepts in social philosophy', 'Concepts in the philosophy of history', 'Concepts in the philosophy of mind', 'Concepts in the philosophy of science', 'Consciousness', 'Epistemological theories', 'Existentialist concepts', 'Free will', 'History of logic', 'History of philosophy', 'History of psychology', 'Intellectual history', 'Mental processes', 'Metaphysical theories', 'Metaphysics', 'Metaphysics of mind', 'Mind', 'Perception', 'Philosophy of mind', 'Psychological concepts', 'Religious philosophical concepts', 'Social philosophy', 'Theory of mind', 'Unsolved problems in neuroscience']",[]
110306480,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,Writing,0,7,Writing,http://dbpedia.org/resource/Writing,0.7299,"Writing is a cognitive and social activity involving neuropsychological and physical processes and the use of writing systems to structure and translate human thoughts into persistent representations of human language. A system of writing relies on many of the same semantic structures as the language it represents, such as lexicon and syntax, with the added dependency of a system of symbols representing that language's phonology and morphology. Nevertheless, written language may take on characteristics distinctive from any available in spoken language.","['Behavior', 'Human communication', 'Language', 'Nonverbal communication', 'Writing', 'Writing systems', 'Written communication']",[]
110306480,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,thinking,54,62,Thought,http://dbpedia.org/resource/Thought,0.7497,"In their most common sense, the terms thought and thinking refer to conscious cognitive processes that can happen independently of sensory stimulation. Their most paradigmatic forms are judging, reasoning, concept formation, problem solving, and deliberation. But other mental processes, like considering an idea, memory, or imagination, are also often included. These processes can happen internally independent of the sensory organs, unlike perception. But when understood in the widest sense, any mental event may be understood as a form of thinking, including perception and unconscious mental processes. In a slightly different sense, the term thought refers not to the mental processes themselves but to mental states or systems of ideas brought about by these processes.","['Abstraction', 'Cognition', 'Cognitive psychology', 'Cognitive science', 'Concepts in ancient Greek metaphysics', 'Concepts in ancient Greek philosophy of mind', 'Concepts in epistemology', 'Concepts in metaphilosophy', 'Consciousness studies', 'Creativity', 'Emergence', 'Empiricism', 'Free will', 'Idealism', 'Intelligence', 'Mental content', 'Mental processes', 'Metaphysics of mind', 'Mind–body problem', 'Neuropsychological assessment', 'Observation', 'Ontology', 'Perception', 'Qualia', 'Rationalism', 'Reasoning', 'Sensory systems', 'Sources of knowledge', 'Subjective experience', 'Theory of mind', 'Thought', 'Unsolved problems in neuroscience']",[]
110306480,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,Dandelion,learning,73,81,Learning,http://dbpedia.org/resource/Learning,0.7556,"Learning is the process of acquiring new understanding, knowledge, behaviors, skills, values, attitudes, and preferences. The ability to learn is possessed by humans, animals, and some machines; there is also evidence for some kind of learning in certain plants. Some learning is immediate, induced by a single event (e.g. being burned by a hot stove), but much skill and knowledge accumulate from repeated experiences. The changes induced by learning often last a lifetime, and it is hard to distinguish learned material that seems to be ""lost"" from that which cannot be retrieved.","['Articles containing video clips', 'Cognitive science', 'Developmental psychology', 'Intelligence', 'Learning', 'Neuropsychological assessment', 'Systems science']",[]
