,Father_ID,Father_name,Author_name,Text,Text_ID
110306476,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Having a meaningful and well-defined task beats willpower every time. Not having willpower, but not having to use willpower indicates that you set yourself up for success. This is where the organisation of writing and note-taking comes into play.",110306476
110306477,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"A good, structured workflow puts us back in charge and increases our freedom to do the right thing at the right time.",110306477
110306479,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Studies on highly successful people have proven again and again that success is not the result of strong willpower and the ability to overcome resistance, but rather the result of smart working environments that avoid resistance in the first place",110306479
110306480,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Writing is, without dispute, the best facilitator for thinking, reading, learning, understanding and generating ideas we have.",110306480
110306481,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,This stands in harsh contrast to the common but not-so-wise belief that we need to learn from experience. It is much better to learn from the experiences of others – especially when this experience is reflected on and turned into versatile “mental models” that can be used in different situations.,110306481
290432993,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"We know today that self-control and self-discipline have much more to do with our environment than with ourselves (cf. Thaler, 2015, ch. 2) – and the environment can be changed. Nobody needs willpower not to eat a chocolate bar when there isn’t one around. And nobody needs willpower to do something they wanted to do anyway. Every task that is interesting, meaningful and well-defined will be done, because there is no conflict between long- and short-term interests. Having a meaningful and well-defined task beats willpower every time. Not having willpower, but not having to use willpower indicates that you set yourself up for success. This is where the organisation of writing and note-taking comes into play.",290432993
290432994,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"A good structure is something you can trust. It relieves you from the burden of remembering and keeping track of everything. If you can trust the system, you can let go of the attempt to hold everything together in your head and you can start focusing on what is important: The content, the argument and the ideas.",290432994
290432995,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Having a clear structure to work in is completely different from making plans about something. If you make a plan, you impose a structure on yourself; it makes you inflexible. To keep going according to plan, you have to push yourself and employ willpower. This is not only demotivating, but also unsuitable for an open-ended process like research, thinking or studying in general, where we have to adjust our next steps with every new insight, understanding or achievement – which we ideally have on a regular basis and not just as an exception. Even though planning is often at odds with the very idea of research and learning, it is the mantra of most study guides and self-help books on academic writing. How do you plan for insight, which, by definition, cannot be anticipated? It is a huge misunderstanding that the only alternative to planning is aimless messing around. The challenge is to structure one’s workflow in a way that insight and new ideas can become the driving forces that push us forward. We do not want to make ourselves dependent on a plan that is threatened by the unexpected, like a new idea, discovery – or insight.",290432995
290432996,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"it is usually the best students who struggle the most. Good students wrestle with their sentences because they care about finding the right expression. It takes them longer to find a good idea to write about because they know from experience that the first idea is rarely that great and good questions do not fall into their laps. They spend more time in the library to get a better overview of the literature, which leads to more reading, which means that they have to juggle more information. Having read more does not automatically mean having more ideas. Especially in the beginning, it means having fewer ideas to work with, because you know that others have already thought of most of them.",290432996
290432997,6297743,"How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking  for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Only when all the related work becomes part of an overarching and interlocked process, where all bottlenecks are removed, can significant change take place",290432997
